LastName,FirstName,Age,Class,PassengerOrCrew,Role,Survivor
CHIBNALL,Mrs Edith Martha Bowerman,48,1st Class,Passenger,,true
CHIP,Mr Chang,32,3rd Class,Passenger,,true
CHISHOLM,Mr Roderick,43,1st Class,Passenger,H&W Guarantee Group,false
CHISNALL,Mr George Alexander,36,Engineering,Crew,,false
CHITTY,Mr Archibald George,28,Victualling,Crew,,false
CHITTY,Mr George Henry,50,Victualling,Crew,,false
CHORLEY,Mr John Henry,25,Engineering,Crew,,false
CHRISTMANN,Mr Emil,29,3rd Class,Passenger,,false
CHRISTMAS,Mr Herbert Harry,34,Victualling,Crew,,false
CHRISTY,Miss Rachel Juli Cohen,25,2nd Class,Passenger,,true
CHRISTY,Mrs Alice Frances,52,2nd Class,Passenger,,true
CHRONOPOULOS,Mr Apostolos M.,26,3rd Class,Passenger,,false
CHRONOPOULOS,Mr Dimitrios M.,21,3rd Class,Passenger,,false
CLARK,Mr Walter Miller,27,1st Class,Passenger,,false
CLARK,Mr William,40,Engineering,Crew,,true
CLARK,Mrs Virginia Estelle,26,1st Class,Passenger,,true
CLARKE,Mr Charles Valentine,29,2nd Class,Passenger,,false
CLARKE,Mr John Frederick Preston,28,2nd Class,Passenger,Musician,false
CLARKE,Mrs Ada Maria,28,2nd Class,Passenger,,true
CLEAVER,Miss Alice Catherine,22,1st Class,Passenger,Servant,true
CLELAND,Mr James,29,Engineering,Crew,(Delivery trip only),false
CLENCH,Mr Frederick Charles,33,Deck,Crew,,true
CLENCH,Mr George James,31,Deck,Crew,,false
CLIFFORD,Mr George Quincy,40,1st Class,Passenger,,false
COCHRANE,Mr Robert,40,Engineering,Crew,(Delivery trip only),false
COE,Mr Harry,21,Engineering,Crew,,false
COELHO,Mr Domingos Fernandeo,20,3rd Class,Passenger,,false
COFFEY,Mr John,23,Engineering,Crew,Deserted,false
COHEN,Mr Gurshon,19,3rd Class,Passenger,,true
COLBERT,Mr Patrick,24,3rd Class,Passenger,,false
COLEMAN,Mr Albert Edward,28,Victualling,Crew,,false
COLEMAN,Mr John,57,Engineering,Crew,,false
COLERIDGE,Mr Reginald Charles,29,2nd Class,Passenger,,false
COLGAN,Mr E. Joseph,33,Victualling,Crew,,true
COLLANDER,Mr Erik Gustaf,27,2nd Class,Passenger,,false
COLLETT,Mr Sidney Clarence Stuart,25,2nd Class,Passenger,,true
COLLEY,Mr Edward Pomeroy,37,1st Class,Passenger,,false
COLLINS,Mr John,17,Victualling,Crew,,true
COLLINS,Mr John,38,Engineering,Crew,,true
COLLIS,Mr,0,1st Class,Passenger,Cross Channel Passenger,true
COLLYER,Miss Marjorie Lottie,8,2nd Class,Passenger,,true
COLLYER,Mr Harvey,31,2nd Class,Passenger,,false
COLLYER,Mrs Charlotte Caroline,30,2nd Class,Passenger,,true
COMBES,Mr George,34,Engineering,Crew,,true
COMPTON,Miss Sara Rebecca,39,1st Class,Passenger,,true
COMPTON,Mr Alexander Taylor jr,37,1st Class,Passenger,,false
COMPTON,Mrs Mary Eliza,64,1st Class,Passenger,,true
CONLIN,Mr Thomas Henry,31,3rd Class,Passenger,,false
CONNAUGHTON,Mr Michael,40,3rd Class,Passenger,,false
CONNOLLY,Miss Catherine,23,3rd Class,Passenger,,true
CONNOLLY,Miss Kate,41,3rd Class,Passenger,,false
CONNOR,Mr James,46,Engineering,Crew,(Delivery trip only),false
CONNOR,Mr Thomas,39,Engineering,Crew,(Delivery trip only),false
CONNORS,Mr Patrick,66,3rd Class,Passenger,,false
CONWAY,Mr Percy Walter,25,Victualling,Crew,,false
COOK,Mr Gilbert William,32,Victualling,Crew,,false
COOK,Mr Jacob,43,3rd Class,Passenger,,false
COOK,Mrs Selena,22,2nd Class,Passenger,,true
COOMBS,Mr Charles Augustus,45,Victualling,Crew,,false
COOPER,Mr H.,25,Engineering,Crew,,false
COOPER,Mr James Edward,26,Engineering,Crew,,false
COPPERTHWAITE,Mr Albert Harry,28,Engineering,Crew,,false
ČOR,Mr Bartol,35,3rd Class,Passenger,,false
ČOR,Mr Ivan,27,3rd Class,Passenger,,false
ČOR,Mr Liudevit,19,3rd Class,Passenger,,false
CORBEN,Mr Ernest Theodore,27,Victualling,Crew,,false
CORBETT,Mrs Irene,30,2nd Class,Passenger,,false
CORCORAN,Mr Dennis,33,Engineering,Crew,,false
COREY,Mrs Mary Emma,32,2nd Class,Passenger,,false
CORNAIRE,Mr Marcel Raymond André,19,Restaurant Staff,Crew,,false
CORNBLATT,Mr Harris,30,3rd Class,Passenger,,false
CORNELL,Mrs Malvina Helen,55,1st Class,Passenger,,true
CORR,Miss Ellen,16,3rd Class,Passenger,,true
COSGROVE,Mr John,23,Engineering,Crew,(Delivery trip only),false
COSGROVE,Mr William,26,Engineering,Crew,(Delivery trip only),false
COTTERILL,Mr Henry,21,2nd Class,Passenger,,false
COTTON,Mr Alfred,35,Engineering,Crew,Substitute Crew,false
COUCH,Mr Frank,27,Deck,Crew,,false
COUCH,Mr Joseph Henry,49,Engineering,Crew,,false
COUPER,Mr Robert Frederick William,30,Engineering,Crew,,true
COUTIN,Mr Auguste Louis,28,Restaurant Staff,Crew,,false
COUTTS,Master Neville Leslie,3,3rd Class,Passenger,,true
COUTTS,Master William Loch,9,3rd Class,Passenger,,true
COUTTS,Mrs Winnie,36,3rd Class,Passenger,,true
COX,Mr William Denton,30,Victualling,Crew,,false
COXON,Mr Daniel,58,3rd Class,Passenger,,false
COY,Mr Francis Ernest George,27,Engineering,Crew,,false
CRABB,Mr Henry James,23,Engineering,Crew,,false
CRAFTER,Mr Frederick Horace,20,Victualling,Crew,,true
CRAFTON,Mr John Bertram,58,1st Class,Passenger,,false
CRAIG,Mr David,33,Engineering,Crew,(Delivery trip only),false
CRAIG,Mr John,29,Engineering,Crew,(Delivery trip only),false
CRAWFORD,Mr Alfred George,43,Victualling,Crew,,true
CREASE,Mr Ernest James,20,3rd Class,Passenger,,false
CREESE,Mr Henry Philip,45,Engineering,Crew,,false
CRIBB,Miss Laura Mae,16,3rd Class,Passenger,,true
CRIBB,Mr John Hatfield,43,3rd Class,Passenger,,false
CRIMMINS,Mr James,21,Engineering,Crew,,true
CRISP,Mr Albert Hector,39,Victualling,Crew,,false
CRISPIN,Mr William,33,Victualling,Crew,,false
CROSBIE,Mr John Borthwick,45,Victualling,Crew,,false
CROSBY,Captain Edward Gifford,70,1st Class,Passenger,,false
CROSBY,Miss Harriette Rebecca,39,1st Class,Passenger,,true
CROSBY,Mrs Catherine Elizabeth,64,1st Class,Passenger,,true
CROSKERY,Mr Thomas,38,Engineering,Crew,(Delivery trip only),false
CROSS,Mr William Alfred,44,Engineering,Crew,,false
CROSSLEY,Mr John,34,Engineering,Crew,(Delivery trip only),false
CROUGHANE,Mr Michael,45,Engineering,Crew,(Delivery trip only),false
CROVELLA,Sig. Paolo Luigi,16,Restaurant Staff,Crew,,false
CROW,Mr George Frederick,26,Victualling,Crew,,true
CRUMPLIN,Mr Charles George Chandler,35,Victualling,Crew,,false
CULLEN,Mr Charles James,49,Victualling,Crew,,true
CULLEN,Mr John,43,Engineering,Crew,(Delivery trip only),false
CULLEN,Mr Patrick,36,Engineering,Crew,(Delivery trip only),false
ČULUMOVIĆ,Mr Jeso,17,3rd Class,Passenger,,false
CUMINGS,Mr John Bradley,39,1st Class,Passenger,,false
CUMINGS,Mrs Florence Briggs,35,1st Class,Passenger,,true
CUNNINGHAM,Mr Alfred Fleming,21,2nd Class,Passenger,H&W Guarantee Group,false
CUNNINGHAM,Mr Andrew Orr,38,Victualling,Crew,,true
CUNNINGHAM,Mr Bernard,35,Engineering,Crew,,false
CURRAN,Mr Thomas,41,Engineering,Crew,(Delivery trip only),false
CURTIS,Mr Arthur,26,Engineering,Crew,,false
DĀHIR,Mr Ṭannūs,28,3rd Class,Passenger,,false
DAHL,Mr Charles Edward,45,3rd Class,Passenger,,true
DAHLBERG,Miss Gerda Ulrika,22,3rd Class,Passenger,,false
DAKIĆ,Mr Branko,19,3rd Class,Passenger,,false
DALY,Miss Margaret,33,3rd Class,Passenger,,true
DALY,Mr Eugene Patrick,29,3rd Class,Passenger,,true
DALY,Mr Peter Dennis,51,1st Class,Passenger,,true
DANBOM,Master Gilbert Sigvard Emanuel,0.33,3rd Class,Passenger,,false
DANBOM,Mr Ernst Gilbert,34,3rd Class,Passenger,,false
DANBOM,Mrs Anna Sigrid Maria,28,3rd Class,Passenger,,false
DANIEL,Mr Robert Williams,27,1st Class,Passenger,,true
DANIELS,Miss Sarah Rebecca,36,1st Class,Passenger,Servant,true
DANIELS,Mr Sidney Edward,18,Victualling,Crew,,true
DASHWOOD,Mr William George,18,Victualling,Crew,,false
DAVIDSON,Mr Thornton,31,1st Class,Passenger,,false
DAVIDSON,Mrs Orian,27,1st Class,Passenger,,true
DAVIES,Master John Morgan jr,8,2nd Class,Passenger,,true
DAVIES,Miss K.,0,2nd Class,Passenger,Cross Channel Passenger,true
DAVIES,Mr Alfred James,24,3rd Class,Passenger,,false
DAVIES,Mr Charles Henry,19,2nd Class,Passenger,,false
DAVIES,Mr Evan Lewis,22,3rd Class,Passenger,,false
DAVIES,Mr Gordon Raleigh,32,Victualling,Crew,,false
DAVIES,Mr H. V.,0,2nd Class,Passenger,Cross Channel Passenger,true
DAVIES,Mr John,22,3rd Class,Passenger,,false
DAVIES,Mr Joseph,17,3rd Class,Passenger,,false
DAVIES,Mr Robert J.,26,Victualling,Crew,,false
DAVIES,Mr Thomas,33,Engineering,Crew,,false
DAVIES,Mrs Agnes,48,2nd Class,Passenger,,true
DAVIS,Miss Mary Ann Charlotte,28,2nd Class,Passenger,,true
DAVIS,Mr John,27,Victualling,Crew,,false
DAVIS,Mr Stephen James,39,Deck,Crew,,false
DAVISON,Mr Thomas Henry,32,3rd Class,Passenger,,false
DAVISON,Mrs Mary Elizabeth,34,3rd Class,Passenger,,true
DAWES,Mr W. W.,38,Victualling,Crew,Discharged Crew,false
DAWKINS,Mr P.,24,Victualling,Crew,Failed to Join Ship,false
DAWSON,Mr Joseph,23,Engineering,Crew,,false
DE GRASSE,Mr J.,0,2nd Class,Passenger,Cross Channel Passenger,true
DE MARSICO,Sig. Govanni,20,Restaurant Staff,Crew,,false
DE MESSEMAEKER,Mr Guillaume Joseph,36,3rd Class,Passenger,,true
DE MESSEMAEKER,Mrs Anna,36,3rd Class,Passenger,,true
DE MULDER,Mr Theodoor,30,3rd Class,Passenger,,true
DE PELSMAEKER,Mr Alfons,16,3rd Class,Passenger,,false
DEACON,Mr Percy William,17,2nd Class,Passenger,,false
DEAN,Master Bertram Vere,1,3rd Class,Passenger,,true
DEAN,Miss Elizabeth Gladys Millvina,0.17,3rd Class,Passenger,,true
DEAN,Mr Bertram Frank,25,3rd Class,Passenger,,false
DEAN,Mr George Fox Hopkins,19,Victualling,Crew,,false
DEAN,Mrs Eva Georgetta,32,3rd Class,Passenger,,true
DEBREUCQ,Mr Maurice Emile Victor,18,Restaurant Staff,Crew,,false
DECKER,Mr Charles,47,Engineering,Crew,(Delivery trip only),false
DEEBLE,Mr Alfred Arnold,34,Victualling,Crew,,false
DEL CARLO,Mr Sebastiano,29,2nd Class,Passenger,,false
DEL CARLO,Mrs Argene,24,2nd Class,Passenger,,true
DELALIC,Mr Redjo,25,3rd Class,Passenger,,false
DENBUOY,Mr Albert Joseph,25,2nd Class,Passenger,,false
DENKOV,Mr Mityu,30,3rd Class,Passenger,,false
DENMIGAN,Mr Charles,42,Deck,Crew,(Delivery trip only),false
DENNIS,Mr Samuel,22,3rd Class,Passenger,,false
DENNIS,Mr William,26,3rd Class,Passenger,,false
DENOV,Mr Yoto,27,3rd Class,Passenger,,false
DENVER,Mr John,33,Engineering,Crew,(Delivery trip only),false
DERRETT,Mr Arthur Henry,28,Victualling,Crew,,false
DESLANDES,Mr Percival Stainer,38,Victualling,Crew,,false
DESVERNINE,Mr Louis Gabriel,20,Restaurant Staff,Crew,,false
DEVANEY,Miss Margaret Bedelia,20,3rd Class,Passenger,,true
DI NAPOLI,Mr E.,24,Restaurant Staff,Crew,Failed to Join Ship,false
DIAPER,Mr John Joseph,27,Engineering,Crew,,true
DIBDEN,Mr William,18,2nd Class,Passenger,,false
DĪBŪ,Mr Ilyās,29,3rd Class,Passenger,,false
DICK,Mr Albert Adrian,31,1st Class,Passenger,,true
DICK,Mrs Vera,17,1st Class,Passenger,,true
DICKSON,Mr William,37,Engineering,Crew,Substitute Crew,false
DIKA,Mr Mirko,17,3rd Class,Passenger,,false
DILLON,Mr Thomas Patrick,33,Engineering,Crew,,true
DIMIĆ,Mr Jovan,42,3rd Class,Passenger,,false
DINCHEV,Mr Vulcho,43,3rd Class,Passenger,,false
DINENAGE,Mr James Richard,49,Victualling,Crew,,false
DODD,Mr Edward Charles,39,Engineering,Crew,,false
DODD,Mr George Charles,44,Victualling,Crew,,false
DODDS,Mr Henry Watson,26,Engineering,Crew,Substitute Crew,false
DODGE,Dr Washington,52,1st Class,Passenger,,true
DODGE,Master Washington,4,1st Class,Passenger,,true
DODGE,Mrs Ruth,38,1st Class,Passenger,,true
DOEL,Mr Frederick,22,Engineering,Crew,,true
DOHERTY,Mr William John,22,3rd Class,Passenger,,false
DOLBY,Mr Joseph,38,Victualling,Crew,,false
DOLING,Miss Elsie,18,2nd Class,Passenger,,true
DOLING,Mrs Ada Julia Elizabeth,34,2nd Class,Passenger,,true
DONATI,Sig. Italo Francesco,17,Restaurant Staff,Crew,,false
DONAUGHE,Mr Hugh,34,Deck,Crew,(Delivery trip only),false
DONOGHUE,Mr Florence Thomas,31,Victualling,Crew,,false
DONOHOE,Miss Bridget,21,3rd Class,Passenger,,false
DOOLY,Mr Patrick,37,3rd Class,Passenger,,false
DORE,Mr Albert James,22,Engineering,Crew,,true
DORKING,Mr Edward Arthur,18,3rd Class,Passenger,,true
DORNIER,Mr Louis Auguste,20,Restaurant Staff,Crew,,false
DOUGHTY,Mr Walter Thomas,22,Victualling,Crew,,false
DOUGLAS,Mr Walter Donald,50,1st Class,Passenger,,false
DOUGLAS,Mrs Mahala,48,1st Class,Passenger,,true
DOUGLAS,Mrs Mary Hélène,27,1st Class,Passenger,,true
DOUGLASS,Mr William,31,Deck,Crew,(Delivery trip only),false
DOUTON,Mr William Joseph,55,2nd Class,Passenger,,false
DOWDELL,Miss Elizabeth,31,3rd Class,Passenger,,true
DOYLE,Miss Elizabeth,28,3rd Class,Passenger,,false
DOYLE,Mr Laurence,27,Engineering,Crew,,false
DRAŽENOVIĆ,Mr Jozef,33,3rd Class,Passenger,,false
DREW,Master Marshall Brines,8,2nd Class,Passenger,,true
DREW,Mr James Vivian,42,2nd Class,Passenger,,false
DREW,Mrs Maria Louisa Thorne,34,2nd Class,Passenger,,true
DRISCOLL,Miss Bridget,27,3rd Class,Passenger,,true
DROPKIN,Miss Jennie,24,3rd Class,Passenger,,true
DUFF GORDON,Lucy Christiana--Lady,48,1st Class,Passenger,,true
DUFF GORDON,Sir Cosmo Edmund,49,1st Class,Passenger,,true
DUFFY,Mr William Luke,36,Engineering,Crew,,false
DULLES,Mr William Crothers,39,1st Class,Passenger,,false
DUNFORD,Mr William,48,Victualling,Crew,,false
DUNLOP,Mr Joseph,47,Engineering,Crew,(Delivery trip only),false
DUQUEMIN,Mr Joseph Pierre,24,3rd Class,Passenger,,true
DURÁN I MONÉ,Sra. Asuncion,27,2nd Class,Passenger,,true
DURÁN I MONÉ,Sra. Florentina,30,2nd Class,Passenger,,true
DWAN,Mr Frank,65,3rd Class,Passenger,,false
DYER EDWARDES,Mr Thomas,65,1st Class,Passenger,Cross Channel Passenger,true
DYER EDWARDES,Mrs Clementina Georgina Lucy Drummond,53,1st Class,Passenger,Cross Channel Passenger,true
DYER,Mr Henry Ryland,24,Engineering,Crew,,false
DYER,Mr William Henry,33,Victualling,Crew,,false
DYKER,Mr Adolf Fredrik,23,3rd Class,Passenger,,false
DYKER,Mrs Anna Elisabeth Judith,22,3rd Class,Passenger,,true
DYMOND,Mr Frank,36,Engineering,Crew,,true
EAGLE,Mr Alfred James Jacob,27,Engineering,Crew,,false
EARNSHAW,Mrs Olive,23,1st Class,Passenger,,true
EASTMAN,Mr Charles,44,Engineering,Crew,,false
EDBROOKE,Mr Francis Samuel Jacob,23,Victualling,Crew,,false
EDE,Mr George Bulkeley,23,Victualling,Crew,,false
EDGE,Mr Frederick William,39,Victualling,Crew,,false
EDVARDSSON,Mr Gustaf Hjalmar,18,3rd Class,Passenger,,false
EDWARDS,Mr Charles Essex,39,Victualling,Crew,,false
EGG,Mr William Henry,48,Victualling,Crew,,false
EITEMILLER,Mr George Floyd,25,2nd Class,Passenger,,false
EKLUND,Mr Hans Linus,16,3rd Class,Passenger,,false
EKSTRÖM,Mr Johan,45,3rd Class,Passenger,,false
ELIAS NASRALLAH,Mr Tannous,22,3rd Class,Passenger,,false
ELIAS,Mr Joseph,39,3rd Class,Passenger,,false
ELIAS,Mr Joseph jr.,15,3rd Class,Passenger,,false
ELLIOTT,Mr Everett Edward,23,Engineering,Crew,,false
ELLIS,Mr John Bertie,28,Victualling,Crew,,true
ELLISON,Mr Joseph,29,Engineering,Crew,(Delivery trip only),false
ELSBURY,Mr William James,48,3rd Class,Passenger,,false
EMANUEL,Miss Virginia Ethel,6,3rd Class,Passenger,,true
ENANDER,Mr Ingvar,21,2nd Class,Passenger,,false
ENDRES,Miss Caroline Louise,39,1st Class,Passenger,Servant,true
ENNES,Mr William,28,Engineering,Crew,(Delivery trip only),false
ENNIS,Mr Walter,34,Victualling,Crew,,false
ERVINE,Mr Albert George,18,Engineering,Crew,,false
ESTANISLAU,Mr Manuel Gonçalves,37,3rd Class,Passenger,,false
ETCHES,Mr Henry Samuel,43,Victualling,Crew,,true
ETTLINGER,Mr Peter,31,Victualling,Crew,Discharged Crew,false
EUSTIS,Miss Elizabeth Mussey,54,1st Class,Passenger,,true
EVANS,Miss,0,2nd Class,Passenger,Cross Channel Passenger,true
EVANS,Miss Edith Corse,36,1st Class,Passenger,,false
EVANS,Mr Alfred Frank,25,Deck,Crew,,true
EVANS,Mr Frank Oliver,27,Deck,Crew,,true
EVANS,Mr George Richard,27,Victualling,Crew,,false
EVANS,Mr William Thomas,33,Engineering,Crew,,false
EVERETT,Mr Thomas James,37,3rd Class,Passenger,,false
FAHLSTRØM,Mr Arne Joma,18,2nd Class,Passenger,,false
FAIRALL,Mr Henry Charles,40,Victualling,Crew,,false
FARDON,Mr Charles Richard,46,3rd Class,Passenger,,false
FARENDEN,Mr Ernest John,22,Victualling,Crew,,false
FARLEY,Mr John,31,Engineering,Crew,(Delivery trip only),false
FARQUHARSON,Mr William Edward,39,Engineering,Crew,,false
FARRELL,Mr James,26,3rd Class,Passenger,,false
FARTHING,Mr John,48,1st Class,Passenger,Servant,false
FAULKNER,Mr William Stephen,37,Victualling,Crew,,true
FAUNTHORPE,Mr Harry Bartram,31,2nd Class,Passenger,,false
FAY,Mr Thomas Joseph,30,Engineering,Crew,,false
FEI,Sig. Carlo,19,Restaurant Staff,Crew,,false
FELLOWES,Mr Alfred James,28,Victualling,Crew,,false
FELTHAM,Mr George William,41,Victualling,Crew,,false
FERRARY,Mr Antonio,33,Engineering,Crew,,false
FERRIS,Mr George,34,Engineering,Crew,(Delivery trip only),false
FERRIS,Mr William,39,Engineering,Crew,,false
FERRON,Mr Nicholas,32,Engineering,Crew,(Delivery trip only),false
FILLBROOK,Mr Joseph Charles,18,2nd Class,Passenger,,false
FINCH,Mr Henry Herman,18,Victualling,Crew,,false
FINOLI,Mr Luigi,41,3rd Class,Passenger,,true
FIORAVANTE,Sig. Giuseppe Bertoldo,23,Restaurant Staff,Crew,,false
FISCHER,Mr Eberhard Thelander,18,3rd Class,Passenger,,false
FISH,Mr B.,38,Victualling,Crew,Failed to Join Ship,false
FISHER,Mr R.,24,Victualling,Crew,Failed to Join Ship,false
FITZPATRICK,Mr Cecil William,21,Engineering,Crew,,true
FITZPATRICK,Mr Hugh Joseph,29,Engineering,Crew,,false
FLACK,Mr John,30,Engineering,Crew,(Delivery trip only),false
FLAHERTY,Mr Edward,52,Engineering,Crew,,true
FLEET,Mr Frederick,24,Deck,Crew,,true
FLEGENHEIM,Mrs Antoinette,48,1st Class,Passenger,,true
FLEMING,Miss Honor,22,3rd Class,Passenger,,false
FLEMING,Miss Margaret,42,1st Class,Passenger,Servant,true
FLEMMING,Mr William,32,Engineering,Crew,(Delivery trip only),false
FLETCHER,Miss N.,0,1st Class,Passenger,Cross Channel Passenger,true
FLETCHER,Mr Percy William,25,Victualling,Crew,,false
FLETCHER,Mr Robert,38,Engineering,Crew,(Delivery trip only),false
FLINN,Mr Michael,34,Engineering,Crew,(Delivery trip only),false
FLYNN,Mr James,28,3rd Class,Passenger,,false
FLYNN,Mr John,48,3rd Class,Passenger,,false
FLYNN,Mr John Irwin,36,1st Class,Passenger,,true
FOLEY,Mr John,46,Deck,Crew,,true
FOLEY,Mr Joseph,19,3rd Class,Passenger,,false
FOLEY,Mr Wilfred Cyril,21,Victualling,Crew,,true
FOLEY,Mr William,20,3rd Class,Passenger,,false
FOO,Mr Choong,32,3rd Class,Passenger,,true
FORD,Miss Dollina Margaret,20,3rd Class,Passenger,,false
FORD,Miss Robina Maggie,7,3rd Class,Passenger,,false
FORD,Mr Arthur,23,3rd Class,Passenger,,false
FORD,Mr Edward Watson,18,3rd Class,Passenger,,false
FORD,Mr Ernest,33,Victualling,Crew,,false
FORD,Mr Francis,44,Victualling,Crew,,false
FORD,Mr H.,22,Engineering,Crew,,false
FORD,Mr Thomas,33,Engineering,Crew,,false
FORD,Mr William Neal Thomas,14,3rd Class,Passenger,,false
FORD,Mrs Margaret Ann Watson,54,3rd Class,Passenger,,false
FOREMAN,Mr Benjamin Laventall,30,1st Class,Passenger,,false
FORMAN,Mr J.,0,1st Class,Passenger,Cross Channel Passenger,true
FORMAN,Mrs,0,1st Class,Passenger,Cross Channel Passenger,true
FORTUNE,Miss Alice Elizabeth,24,1st Class,Passenger,,true
FORTUNE,Miss Ethel Flora,28,1st Class,Passenger,,true
FORTUNE,Miss Mabel Helen,23,1st Class,Passenger,,true
FORTUNE,Mr Charles Alexander,19,1st Class,Passenger,,false
FORTUNE,Mr Mark,64,1st Class,Passenger,,false
FORTUNE,Mrs Mary,60,1st Class,Passenger,,true
FORWARD,Mr James,27,Deck,Crew,,true
FOSTER,Mr Alfred Charles,37,Engineering,Crew,,false
FOX,Mr Patrick,28,3rd Class,Passenger,,false
FOX,Mr Stanley Harrington,38,2nd Class,Passenger,,false
FOX,Mr William Thomas,27,Victualling,Crew,,false
FRANCATELLI,Miss Laura Mabel,31,1st Class,Passenger,Servant,true
FRANKLIN,Mr Alan Vincent,28,Victualling,Crew,,false
FRANKLIN,Mr Thomas Parnham,37,1st Class,Passenger,,false
FRASER,Mr J.,30,Engineering,Crew,,false
FRASER,Mr James,30,Engineering,Crew,,false
FRAUENTHAL,Dr Henry William,49,1st Class,Passenger,,true
FRAUENTHAL,Mr Isaac Gerald,43,1st Class,Passenger,,true
FRAUENTHAL,Mrs Clara,42,1st Class,Passenger,,true
FREDERICKS,Mr Walter Francis,21,Engineering,Crew,,true
FREEMAN,Mr Ernest Edward Samuel,45,Victualling,Crew,,false
FRÖLICHER-STEHLI,Mr Maximilian Josef,60,1st Class,Passenger,,true
FRÖLICHER-STEHLI,Mrs Margaretha Emerentia,48,1st Class,Passenger,,true
FRÖLICHER,Miss Hedwig Margaritha,22,1st Class,Passenger,,true
FROST,Mr Anthony Wood,38,2nd Class,Passenger,H&W Guarantee Group,false
FRY,Mr Richard Thomas,39,1st Class,Passenger,Servant,false
FRYER,Mr Albert Ernest,29,Engineering,Crew,,true
FUNK,Miss Annie Clemmer,38,2nd Class,Passenger,,false
FUTRELLE,Mr Jacques Heath,37,1st Class,Passenger,,false
FUTRELLE,Mrs Lily May,35,1st Class,Passenger,,true
FYNNEY,Mr Joseph J.,36,2nd Class,Passenger,,false
GALE,Mr Harry,37,2nd Class,Passenger,,false
GALE,Mr Shadrach,33,2nd Class,Passenger,,false
GALLAGHER,Mr Martin,29,3rd Class,Passenger,,false
GAMBELL,Mr William,29,Engineering,Crew,(Delivery trip only),false
GARFIRTH,Mr John,21,3rd Class,Passenger,,false
GARSIDE,Miss Ethel,39,2nd Class,Passenger,,true
GASKELL,Mr William Alfred,19,2nd Class,Passenger,,false
GASS,Mr David,45,Engineering,Crew,(Delivery trip only),false
GATTI,Sig. Gaspare Antonio Pietro,37,Restaurant Staff,Crew,,false
GAVEY,Mr Laurence,26,2nd Class,Passenger,,false
GEDDES,Mr Richard Charles,32,Victualling,Crew,,false
GEE,Mr Arthur H.,47,1st Class,Passenger,,false
GEER,Mr Alfred Emest,26,Engineering,Crew,Substitute Crew,false
GEORGIEV,Mr Stenyu,0,3rd Class,Passenger,,false
GIBBONS,Mr Jacob William,36,Victualling,Crew,,true
GIBSON,Miss Dorothy Winifred,22,1st Class,Passenger,,true
GIBSON,Mr Thomas,20,Engineering,Crew,(Delivery trip only),false
GIBSON,Mr William,43,Engineering,Crew,(Delivery trip only),false
GIBSON,Mrs Pauline Caroline,45,1st Class,Passenger,,true
GIEGER,Miss Amalie Henriette,35,1st Class,Passenger,Servant,true
GIGLIO,Mr Victor Gaitan Andrea,23,1st Class,Passenger,Servant,false
GILARDINO,Sig. Vincenzo Pio,31,Restaurant Staff,Crew,,false
GILBERT,Mr William,46,2nd Class,Passenger,,false
GILES,Mr Edgar,18,2nd Class,Passenger,,false
GILES,Mr Frederick Edward,20,2nd Class,Passenger,,false
GILES,Mr John Robert,32,Victualling,Crew,,false
GILES,Mr Ralph,24,2nd Class,Passenger,,false
GILINSKI,Mr Eliezer,23,3rd Class,Passenger,,false
GILL,Mr John,24,2nd Class,Passenger,,false
GILL,Mr Joseph Stanley,38,Victualling,Crew,,false
GILL,Mr Patrick,38,Victualling,Crew,,false
GILLESPIE,Mr William Henry,31,2nd Class,Passenger,,false
GILNAGH,Miss Kate,17,3rd Class,Passenger,,true
GIVARD,Mr Hans Kristensen,27,2nd Class,Passenger,,false
GLYNN,Miss Mary Agatha,18,3rd Class,Passenger,,true
GODLEY,Mr George Auguste,38,Engineering,Crew,,true
GODWIN,Mr Frederick Charles,36,Engineering,Crew,,false
GOLD,Mrs Jane Kate Coulson,45,Victualling,Crew,,true
GOLDENBERG,Mr Samuel Levi,47,1st Class,Passenger,,true
GOLDENBERG,Mrs Nella Carlynne,46,1st Class,Passenger,,true
GOLDER,Mr Martin William,35,Engineering,Crew,,false
GOLDSCHMIDT,Mr George B.,71,1st Class,Passenger,,false
GOLDSMITH,Master Frank John William,9,3rd Class,Passenger,,true
GOLDSMITH,Mr Frank John,33,3rd Class,Passenger,,false
GOLDSMITH,Mr Nathan,41,3rd Class,Passenger,,false
GOLDSMITH,Mrs Emily Alice,31,3rd Class,Passenger,,true
GOLLOP,Mr Percival Salisbury,30,Victualling,Crew,,false
GOODWIN,Master Harold Victor,10,3rd Class,Passenger,,false
GOODWIN,Master Sidney Leslie,1,3rd Class,Passenger,,false
GOODWIN,Master William Frederick,13,3rd Class,Passenger,,false
GOODWIN,Miss Jessie Allis Mary,12,3rd Class,Passenger,,false
GOODWIN,Miss Lillian Augusta,16,3rd Class,Passenger,,false
GOODWIN,Mr Charles Edward,14,3rd Class,Passenger,,false
GOODWIN,Mr Frederick Joseph,42,3rd Class,Passenger,,false
GOODWIN,Mrs Augusta,43,3rd Class,Passenger,,false
GORDON,Mr John,30,Engineering,Crew,Substitute Crew,false
GOREE,Mr Frank,40,Engineering,Crew,,false
GORMAN,Mr David,33,Engineering,Crew,(Delivery trip only),false
GOSHAWK,Mr Alfred James,40,Victualling,Crew,,false
